code_departement,nom_departement,code_region,nom_region,long,lat
1,Ain,84, Auvergne-Rhône-Alpes,4.846711,45.748457
2,Aisne,32,Hauts-de-France,3.058585,50.632971
3,Allier,84, Auvergne-Rhône-Alpes,4.846711,45.748457
4,Alpes-de-Haute-Provence,93,Provence-Alpes-Côte d'Azur,5.941712,43.117705
5,Hautes-Alpes,93,Provence-Alpes-Côte d'Azur,5.941712,43.117705
6,Alpes-Maritimes,93,Provence-Alpes-Côte d'Azur,5.941712,43.117705
7,Ard??che,84, Auvergne-Rhône-Alpes,4.846711,45.748457
8,Ardennes,44,Grand Est,6.175875,48.600381
9,Ari??ge,76,Occitanie,1.433188,43.599516
10,Aube,44,Grand Est,6.175875,48.600381
11,Aude,76,Occitanie,1.433188,43.599516
12,Aveyron,76,Occitanie,1.433188,43.599516
13,Bouches-du-Rh??ne,93,Provence-Alpes-Côte d'Azur,5.941712,43.117705
14,Calvados,28,Normandie,1.083333,49.433333
15,Cantal,84, Auvergne-Rhône-Alpes,4.846711,45.748457
16,Charente,75,Nouvelle-Aquitaine,-0.5805,44.840439
17,Charente-Maritime,75,Nouvelle-Aquitaine,-0.5805,44.840439
18,Cher,24,Centre-Val de Loire,1.903887,47.902891
19,Corr??ze,75,Nouvelle-Aquitaine,-0.5805,44.840439
21,C??te-d'Or,27,Bourgogne-Franche-Comté,5.016667,47.316667
22,C??tes-d'Armor,53,Bretagne,-1.674291,48.111981
23,Creuse,75,Nouvelle-Aquitaine,-0.5805,44.840439
24,Dordogne,75,Nouvelle-Aquitaine,-0.5805,44.840439
25,Doubs,27,Bourgogne-Franche-Comté,5.016667,47.316667
26,Dr??me,84, Auvergne-Rhône-Alpes,4.846711,45.748457
27,Eure,28,Normandie,1.083333,49.433333
28,Eure-et-Loir,24,Centre-Val de Loire,1.903887,47.902891
29,Finist??re,53,Bretagne,-1.674291,48.111981
2A,Corse-du-Sud,94,Corse,9.45,42.702778
2B,Haute-Corse,94,Corse,9.45,42.702778
30,Gard,76,Occitanie,1.433188,43.599516
31,Haute-Garonne,76,Occitanie,1.433188,43.599516
32,Gers,76,Occitanie,1.433188,43.599516
33,Gironde,75,Nouvelle-Aquitaine,-0.5805,44.840439
34,H??rault,76,Occitanie,1.433188,43.599516
35,Ille-et-Vilaine,53,Bretagne,-1.674291,48.111981
36,Indre,24,Centre-Val de Loire,1.903887,47.902891
37,Indre-et-Loire,24,Centre-Val de Loire,1.903887,47.902891
38,Is??re,84, Auvergne-Rhône-Alpes,4.846711,45.748457
39,Jura,27,Bourgogne-Franche-Comté,5.016667,47.316667
40,Landes,75,Nouvelle-Aquitaine,-0.5805,44.840439
41,Loir-et-Cher,24,Centre-Val de Loire,1.903887,47.902891
42,Loire,84, Auvergne-Rhône-Alpes,4.846711,45.748457
43,Haute-Loire,84, Auvergne-Rhône-Alpes,4.846711,45.748457
44,Loire-Atlantique,52,Pays de la Loire,-1.552379,47.216509
45,Loiret,24,Centre-Val de Loire,1.903887,47.902891
46,Lot,76,Occitanie,1.433188,43.599516
47,Lot-et-Garonne,75,Nouvelle-Aquitaine,-0.5805,44.840439
48,Loz??re,76,Occitanie,1.433188,43.599516
49,Maine-et-Loire,52,Pays de la Loire,-1.552379,47.216509
50,Manche,28,Normandie,1.083333,49.433333
51,Marne,44,Grand Est,6.175875,48.600381
52,Haute-Marne,44,Grand Est,6.175875,48.600381
53,Mayenne,52,Pays de la Loire,-1.552379,47.216509
54,Meurthe-et-Moselle,44,Grand Est,6.175875,48.600381
55,Meuse,44,Grand Est,6.175875,48.600381
56,Morbihan,53,Bretagne,-1.674291,48.111981
57,Moselle,44,Grand Est,6.175875,48.600381
58,Ni??vre,27,Bourgogne-Franche-Comté,5.016667,47.316667
59,Nord,32,Hauts-de-France,3.058585,50.632971
60,Oise,32,Hauts-de-France,3.058585,50.632971
61,Orne,28,Normandie,1.083333,49.433333
62,Pas-de-Calais,32,Hauts-de-France,3.058585,50.632971
63,Puy-de-D??me,84, Auvergne-Rhône-Alpes,4.846711,45.748457
64,Pyr??n??es-Atlantiques,75,Nouvelle-Aquitaine,-0.5805,44.840439
65,Hautes-Pyr??n??es,76,Occitanie,1.433188,43.599516
66,Pyr??n??es-Orientales,76,Occitanie,1.433188,43.599516
67,Bas-Rhin,44,Grand Est,6.175875,48.600381
68,Haut-Rhin,44,Grand Est,6.175875,48.600381
69,Rh??ne,84, Auvergne-Rhône-Alpes,4.846711,45.748457
70,Haute-Sa??ne,27,Bourgogne-Franche-Comté,5.016667,47.316667
71,Sa??ne-et-Loire,27,Bourgogne-Franche-Comté,5.016667,47.316667
72,Sarthe,52,Pays de la Loire,-1.552379,47.216509
73,Savoie,84, Auvergne-Rhône-Alpes,4.846711,45.748457
74,Haute-Savoie,84, Auvergne-Rhône-Alpes,4.846711,45.748457
75,Paris,11,Île-de-France,2.333333,48.866667
